Syracuse University,64.720974984,313.834489594,283,338,154.161546085,134,170,159.672943508,138,170,3.5064683436,2.47,4,3.6966303271,0.4,6,103.658077304,76,119
Saint Cloud State,100,319.333333333,308,326,166,158,170,153.333333333,150,156,3.7966666667,3.78,3.83,4,4,4,110.666666667,100,116
University Of Wisconsin River Falls,28.5714285714,305,304,306,156.5,156,157,148.5,148,149,3.81,3.77,3.85,4.25,4,4.5,100,100,100
Aalto University,100,324.666666667,317,331,159.666666667,157,165,165,160,169,3.61,3.33,4,3.8333333333,3.5,4,102,100,106
Bocconi,100,324.333333333,321,329,158.333333333,154,162,166,161,170,3.4833333333,3.3,3.6,3.5,3,4,100.666666667,99,103
Memorial University Of Newfoundland (MUN),50,316.833333333,309,322,155.333333333,149,161,161.5,148,167,3.6316666667,3.3,3.92,3.75,3,5,99.3333333333,95,103
West Chester University,62.0689655172,309.333333333,297,332,157.388888889,150,166,151.944444444,143,166,3.7816666667,3.3,4,4.25,3,5.5,100.611111111,96,107
Berlin Mathematical School,50,320.5,309,332,153.5,143,164,167,166,168,3.825,3.7,3.95,4,4,4,99,93,105
JMU,33.3333333333,312,312,312,162,162,162,150,150,150,3.9,3.9,3.9,4.5,4.5,4.5,103,103,103
Hong Kong University (HKU),81.8181818182,318,291,328,161.444444444,147,170,156.555555556,144,167,3.5066666667,2.7,3.95,3.5,2.5,5,104.666666667,94,116
"University Of Hawaii, Manoa",76.7441860465,314.96969697,297,334,160.03030303,143,170,154.939393939,140,168,3.7040909091,2.78,4,4.3560606061,3,6,102.984848485,93,116
Sacramento State University,60,309,296,316,157.666666667,147,165,151.333333333,149,154,3.04,2.82,3.2,4.5,4,5,100.666666667,94,106
"University of California, Los Angeles",48.572810837,322.997011952,292,340,160.490039841,134,170,162.506972112,137,170,3.6955174666,2.72,4,4.3106573705,1.5,6,104.5687251,79,120
The Courtauld Institute Of Art,25,322,322,322,152,152,152,170,170,170,3.89,3.89,3.89,4.5,4.5,4.5,97,97,97
Pace University,80,319.5,312,323,161.25,156,168,158.25,151,161,3.71375,3.5,3.8,4.625,3,5.5,102.875,100,111
"University of California, Irvine",49.7037914692,321.035756853,290,339,158.388557807,130,170,162.647199046,136,170,3.6123332056,2.5,4,4.00488677,2,6,104.766388558,75,120
University Of Indiana,75,312,310,314,153.666666667,149,157,158.333333333,153,165,3.6,3.5,3.8,3.8333333333,3.5,4,99.3333333333,95,103
California Institute Of The Arts (CalArts),100,312,302,322,160.333333333,154,164,151.666666667,139,158,3.8066666667,3.7,3.93,5,4,6,102.666666667,99,105
University Of Manitoba,71.4285714286,315,302,320,155.4,140,165,159.6,154,166,3.622,3.31,3.8,4.1,3.5,5,99.4,90,106
Appalachian State University,65.1515151515,308.76744186,288,337,157.023255814,145,170,151.744186047,139,167,3.6974418605,3,4,4.1744186047,3,5.5,100.790697674,93,116
University Of South Dakota,50,305.65,290,317,154.7,143,163,150.95,139,160,3.6935,3.16,4,4.15,2.5,5.5,98.75,93,104
Ithaca College,71.875,312,289,332,157.782608696,143,168,154.217391304,145,170,3.6734782609,3.3,4,4.6739130435,3.5,5.5,101.347826087,93,111
University Of Dallas,100,320.333333333,315,325,164,157,170,156.333333333,151,160,3.5433333333,3.27,3.98,5,4.5,6,107.333333333,100,116
University of Pittsburgh,60.4379562044,319.019323671,284,340,159.27294686,138,170,159.746376812,136,170,3.6510869565,2.6,4,4.3562801932,2.5,6,102.330917874,88,116
SUNY Binhamton,100,320.25,313,330,160,151,164,160.25,150,168,3.365,3.15,3.83,4,3,5.5,102,96,105
"University Of Florida, Gainesville",42.8571428571,320.333333333,314,330,159.666666667,145,170,160.666666667,147,169,3.5266666667,3.04,3.89,3.3333333333,3,4,104.666666667,93,116
University Of The Pacific,43.3333333333,308.692307692,300,324,156.846153846,149,170,151.846153846,144,161,3.6407692308,2.77,3.87,4.4615384615,3.5,5.5,101.538461538,95,116
Northeastern State University,33.3333333333,308,308,308,160,160,160,148,148,148,4,4,4,3.5,3.5,3.5,101,101,101
European University Institute,100,322,315,330,158.5,154,162,163.5,157,170,3.8275,3.6,4,4.375,3.5,5,100.75,99,103
University Of Wisconsin-Stevens Point,80,301.5,289,314,150.25,144,160,151.25,145,159,3.5625,3.04,3.96,4.375,3,5.5,96,93,101
Bard College,75,309.833333333,303,324,160.833333333,158,167,149,145,157,3.89,3.7,4,4.1666666667,4,4.5,102.333333333,100,108
Kent State,100,311.272727273,295,334,155.636363636,146,166,155.636363636,145,168,3.6872727273,3.2,4,4.6363636364,3,6,99.5454545455,94,107
HEC Paris,100,324,317,329,158.25,150,164,165.75,164,167,3.85,3.8,4,3.625,3,4,100.75,96,105
CUNY Brooklyn,81.0810810811,305.233333333,291,319,155.133333333,146,167,150.1,143,161,3.7143333333,3.1,4,4.3333333333,4,5.5,99.5,94,108
Claremont McKenna College,100,319,301,331,161.625,154,168,157.375,145,166,3.50375,2.7,3.91,4.25,3.5,6,104.875,99,111
UMass Medical School,100,306.333333333,306,307,149,141,154,157.333333333,152,166,3.6066666667,3.5,3.78,3.8333333333,3.5,4,96,92,99
California College Of The Arts (CCA),90.9090909091,315.7,306,331,159.2,154,170,156.5,142,169,3.609,3.1,3.92,4.4,3.5,5.5,103,99,116
"University Of Alabama, Tuscaloosa",72.9411764706,310.564516129,296,331,156.580645161,142,170,153.983870968,142,167,3.6720967742,2.6,4,4.2822580645,2.5,6,100.790322581,92,116
Mt. Sinai,66.6666666667,315.5,309,322,159,157,161,156.5,152,161,3.505,3.2,3.81,4.5,4,5,101,100,102
Wake Forest,20,314,314,314,165,165,165,149,149,149,3.69,3.69,3.69,4.5,4.5,4.5,106,106,106
Wake Forest University,69.5652173913,319.53125,307,328,160.71875,152,169,158.8125,145,168,3.7525,3.25,4,4.609375,3,6,102.59375,97,114
Michigan State University,62.7906976744,318.074074074,295,335,158.62962963,149,170,159.444444444,144,170,3.6211111111,3,4,4.5185185185,3,6,101.851851852,95,116
"Miami University, Ohio",65,314.256410256,296,333,159.282051282,147,170,154.974358974,140,166,3.6835897436,3,4,4.5512820513,3,5.5,102.435897436,94,116
Southern Connecticut State University,82.3529411765,308.642857143,299,331,157.107142857,149,170,151.535714286,144,161,3.605,2.82,4,4.6071428571,3.5,6,100.285714286,95,116
Nanyang Technological University (NTU),50,323,320,326,154.666666667,150,161,168.333333333,165,170,3.3333333333,3,3.6,3.5,3,4,98.6666666667,96,102
UMass Worcester,75,325.333333333,317,339,162.333333333,159,169,163,158,170,3.2833333333,3.05,3.7,3.6666666667,3.5,4,104.666666667,100,114
University Of North Dakota,74.358974359,311.517241379,297,330,157.275862069,145,167,154.24137931,145,170,3.7213793103,3,4,4.2413793103,3,5.5,100.172413793,93,108
Tulane University,69.7247706422,316.052631579,297,336,157.802631579,143,170,158.25,141,170,3.5067105263,2.4,3.98,4.0723684211,2,6,101.263157895,93,116
Cornell University,47.9463899697,323.356176736,283,340,160.404869252,136,170,162.951307484,135,170,3.7034550283,1,4,4.2222723174,2,6,105.364292155,86,120
Villanova University,72.2222222222,315.769230769,299,331,161.269230769,143,168,154.5,144,168,3.5953846154,3,4,4.8846153846,3,6,103.576923077,93,111
University Of Northern Iowa,38.0952380952,301.5,293,307,150,145,154,151.5,146,156,3.81625,3.3,3.95,4.375,3.5,5,96,93,99
Texas State,50,312,312,312,169,169,169,143,143,143,3.82,3.82,3.82,3,3,3,114,114,114
Case Western Reserve University (CRWU),60,324.333333333,313,336,162.333333333,158,166,162,155,170,3.7433333333,3.6,3.83,4.6666666667,4.5,5,103.666666667,100,107
Wayne State University,77.8481012658,307.008130081,286,333,150.81300813,134,170,156.195121951,136,169,3.5054699972,2.6861924686,4,3.5975609756,2,6,97.0447154472,76,119
Brock University,50,309.5,298,321,154.5,144,165,155,154,156,3.715,3.5,3.93,4,3,5,99.5,93,106
"University Of Massachussets, Worcester",60,319,311,328,160.166666667,153,165,158.833333333,154,168,3.6216666667,3.23,3.93,4.1666666667,3.5,4.5,102,98,106
"University Of California, Riverside",66.6666666667,319,308,330,157.5,151,164,161.5,157,166,3.59,3.48,3.7,3,2.5,3.5,100.5,96,105
Brandeis University,60.4316546763,318.511904762,293,333,160.547619048,139,170,157.964285714,142,170,3.6519047619,2.99,4,4.4107142857,2.5,6,103.285714286,89,116
Vanderbilt University,50,320.953571429,294,340,161.578571429,139,170,159.375,137,170,3.6990357143,2.7,4,4.5142857143,3,6,104.078571429,89,116
Georgia Institute of Technology,38.5792349727,323.626062323,291,339,159.34088763,138,170,164.285174693,143,170,3.6464574175,2.59,4,4.0612842304,2,6,106.64305949,89,120
"University Of Alabama, Huntsville",100,311.333333333,297,334,154.555555556,144,170,156.777777778,144,166,3.3811111111,3,3.91,3.7222222222,2.5,5,100,93,116
Brigham Young University,70.8333333333,312.705882353,300,326,156.823529412,147,165,155.882352941,147,170,3.7705882353,3.08,3.98,4.4117647059,3,6,99.8823529412,94,106
Midwestern University,95.5555555556,303.11627907,287,316,152.674418605,144,164,150.441860465,141,158,3.6323255814,3,4,4.3604651163,3,5,98.2558139535,93,105
Rush,87.5,313.571428571,305,324,158.428571429,155,163,155.142857143,150,163,3.8014285714,3.6,4,4.1428571429,3,5,101.714285714,100,104
"University Of Alabama, Birmingham",82.3529411765,314.619047619,300,327,157.738095238,142,168,156.880952381,140,166,3.6426190476,2.9,4,4.2,2.5,6,100.619047619,92,111
SUNY Fredonia,52.380952381,301.909090909,290,312,151.454545455,143,162,150.454545455,145,156,3.6809090909,3.2,3.98,4.0454545455,3,4.5,97.7272727273,93,103
Cal State Long Beach,33.3333333333,316,315,317,159,155,163,157,154,160,3.38,3.3,3.46,4.25,4,4.5,103.5,103,104
CSULB,33.3333333333,308,288,328,154,142,166,154,146,162,2.925,2.65,3.2,3.75,3.5,4,99.5,92,107
St. Johns,37.5,306.666666667,300,320,153.333333333,150,159,153.333333333,149,161,3.6833333333,3.5,3.8,4.8333333333,4.5,5,97.3333333333,96,100
CUNY,67.1779141104,319.525114155,280,338,161.730593607,138,170,157.794520548,136,170,3.6789954338,2.88,4,4.595890411,2.5,6,104.812785388,88,116
University Of Texas School Of Public Health,100,319.333333333,313,324,159.333333333,154,170,160,143,167,3.7883333333,3.6,3.94,3.8333333333,3,4.5,103,99,116
University of Wisconsin Madison,42.1098140942,322.789527721,291,340,160.409650924,138,170,162.379876797,138,170,3.6936285761,2.78,4,4.2858316222,2,6,105.232032854,86,120
University Of Indianapolis,66.6666666667,309.25,306,311,157,156,160,152.25,150,155,3.545,3.29,3.8,4.75,4.5,5.5,100.25,100,101
University Of Glasgow,100,315.4,300,320,158.2,151,165,157.2,149,164,3.564,3.29,3.79,4.2,3.5,6,102,96,106
East Carolina University,52.6315789474,308.433333333,296,324,155.366666667,146,168,153.066666667,145,166,3.624,3.09,4,4.1633333333,3,5,99.6666666667,94,111
